Id,Formula,Name,Value,Units,Dimensionality,Type,Source,Status,Comment,Alert,Checks,Group
2181,,CON_Dvtl_Assem_Cut_Admis_Tang,3.048,mm,,Number,,,,,,
2185,,EQN_ST_Dvtl_Assem_Cut_Pitch,18.87902775051,mm,,Number,,,,,,
2189,,EQN_Dvtl_Assem_Cut_Solid_Disch_Axial,6.5917747143625,mm,,Number,,,,,,
2193,,LGC_Dvtl_Assem_Cut_Neck_Admis_Btm,7.175,mm,,Number,,,,,,
2197,,LGC_Dvtl_Assem_Cut_Solid_Disch_Btm,7.175,mm,,Number,,,,,,
2201,,LGC_Dvtl_Assem_Cut_Solid_Admis_Btm,7.175,mm,,Number,,,,,,
2205,,LGC_Dvtl_Assem_Cut_Neck_Disch_Btm,7.175,mm,,Number,,,,,,
2209,,LGC_Dvtl_Assem_Cut_Center,-2.13999560926377,mm,,Number,,,,,,
2213,,EQN_ST_Dvtl_Assem_Cut_Center,-2.13999560926377,mm,,Number,,,,,,
2217,,EQN_Dvtl_Assem_Cut_Neck_Admis_Axial,5.3667747143625,mm,,Number,,,,,,
2221,,REF_Dvtl_Assem_Cut_Neck_Fillet_Top,2.8,mm,,Number,,,,,,
2225,,EQN_DT_Dvtl_Assem_Cut_Center,1.07123606478583,mm,,Number,,,,,,
2229,,EQN_Dvtl_Assem_Cut_Neck_Disch_Axial,5.3667747143625,mm,,Number,,,,,,
2233,,REF_Dvtl_Assem_Cut_Neck_Admis_Fillet_Btm,2.8,mm,,Number,,,,,,
2237,,REF_Dvtl_Assem_Cut_Disch_Neck_Width,2.45,mm,,Number,,,,,,
2241,,EQN_DT_Dvtl_Skew_Back_Tang_Ptch,9.89553822924185,mm,,Number,,,,,,
2245,,EQN_DT_Dvtl_Arc_Drop_Horz,0.00695345104475532,mm,,Number,,,,,,
2249,,EQN_DT_Dvtl_Arc_Length_Horz,9.8885847781971,mm,,Number,,,,,,
2253,,EQN_DT_Dvtl_Skew_Frnt_Tang_Pitch,9.89553822924185,mm,,Number,,,,,,
2257,,EQN_DT_Dvtl_Arc_Drop_Vert,0.174762642302539,mm,,Number,,,,,,
2261,,EQN_DT_Dvtl_Arc_Length_Vert,279.675237357697,mm,,Number,,,,,,
2265,,EQN_ST_Dvtl_Arc_Length_Angle_Taper,-0.383928379788296,degrees,,Number,,,,,,
2273,,EQN_ST_Dvtl_Arc_Length_Angle_Flat,4.4338990211196,degrees,,Number,,,,,,
2277,,EQN_ST_Dvtl_Taper_Pivot_Radial,-1.87470810662196,mm,,Number,,,,,,
2281,,EQN_ST_Dvtl_Taper_Pt_Axial_Delta,0.000500747421375025,mm,,Number,,,,,,
2285,,EQN_ST_Dvtl_Taper_Pt_Radial,279.843717263321,mm,,Number,,,,,,
2289,,EQN_ST_Dvtl_Skew_Vert_Tang,21.6349013903566,mm,,Number,,,,,,
2293,,EQN_ST_Dvtl_Taper_Pt_Axial,-1.87520885404333,mm,,Number,,,,,,
2297,,EQN_ST_Dvtl_Taper_Pt_Radial_Delta,0.00628273667871326,mm,,Number,,,,,,
2301,,EQN_ST_Dvtl_Skew_Mach_Pt,12.6507455493046,mm,,Number,,,,,,
2305,,EQN_DT_Shrd_Arc_Drop_Horz,0.0106514433359918,mm,,Number,,,,,,
2309,,EQN_DT_Shrd_Arc_Length_Vert,330.582294889293,mm,,Number,,,,,,
2313,,EQN_DT_Shrd_Skew_Frnt_Tang_Pitch,13.3173717653644,mm,,Number,,,,,,
2317,,EQN_DT_Shrd_Skew_Back_Tang_Ptch,13.3173717653644,mm,,Number,,,,,,
2321,,EQN_DT_Shrd_Arc_Drop_Vert,0.267705110707254,mm,,Number,,,,,,
2325,,EQN_DT_Shrd_Arc_Length_Horz,13.3067203220284,mm,,Number,,,,,,
2329,,EQN_ST_Shrd_Skew_Vert_Tang,21.6349013903566,mm,,Number,,,,,,
2333,,EQN_ST_Shrd_Arc_Length_Angle_Flat_,3.74935371809281,degrees,,Number,,,,,,
2337,,EQN_ST_Shrd_Taper_Pt_Radial,330.812667176043,mm,,Number,,,,,,
2345,,EQN_ST_Shrd_Skew_AsDesign_Mach_Pt,12.6507455493046,mm,,Number,,,,,,
2349,,EQN_ST_Shrd_Arc_Length_Angle_Taper_,0.860739167597279,degrees,,Number,,,,,,
2353,,EQN_ST_Shrd_Taper_Pivot_Radial,4.97305959623426,mm,,Number,,,,,,
2357,,EQN_ST_Shrd_Taper_Pt_Axial_Delta,0.00297550514767572,mm,,Number,,,,,,
2361,,EQN_ST_Shrd_Taper_Pt_Radial_Delta,0.0373328239567741,mm,,Number,,,,,,
2365,,EQN_ST_Shrd_Skew_Centered_Mach_Pt,16.3067203220284,mm,,Number,,,,,,
2369,,LGC_ST_Shrd_Skew_Mach_Pt,12.6507455493046,mm,,Number,,,,,,
2373,,EQN_ST_Shrd_Taper_Pt_Axial,4.97008409108659,mm,,Number,,,,,,
2389,,HT_XSZ2,1.2931,mm,,Number,,,,,,
2393,,HT_YSZ2,-3,mm,,Number,,,,,,
2401,,REF_Dvtl_Straight_Disch,10,mm,,Number,,,,,,
2405,,LGC_XDP2,18.48,mm,,Number,,,,,,
2409,,REF_Shroud_Lead_In_Disch,10,mm,,Number,,,,,,
2413,,REF_Dvtl_Lead_In_Disch,10,mm,,Number,,,,,,
2417,,EQN_Shroud_Lead_In_Rad_Ang,58.0636286500291,degrees,,Number,,,,,,
2421,,EQN_Dvtl_Lead_In_Admis_False,0.000982547593562717,mm,,Number,,,,,,
2425,,REF_Shroud_Straight_Disch,10,mm,,Number,,,,,,
2429,,EQN_Shroud_Lead_In_Rad_Hrzn,16.8108939947945,mm,,Number,,,,,,
2433,,EQN_Shroud_Tang2Cent_Axial,1.10910600520548,mm,,Number,,,,,,
2437,,EQN_Dvtl_Lead_In_Rad_Hrzn,0.001,mm,,Number,,,,,,
2441,,EQN_Dvtl_Straight_Admis,47.55,mm,,Number,,,,,,
2445,,LGC_Shroud_Lead_In_Admis,36.4,mm,,Number,,,,,,
2449,,EQN_Dvtl_Lead_In_Rad_Ang,0,degrees,,Number,,,,,,
2453,,EQN_Shroud_Lead_In_Admis_False,51.3691060052055,mm,,Number,,,,,,
2457,,EQN_Shroud_Lead_In_Admis_True,36.4,mm,,Number,,,,,,
2461,,EQN_Dvtl_Tang2Cent_Axial,1.74524064372835E-05,mm,,Number,,,,,,
2465,,EQN_Dvtl_Lead_In_Admis_True,47.55,mm,,Number,,,,,,
2469,,LGC_Dvtl_Lead_In_Admis,0.000982547593562717,mm,,Number,,,,,,
2473,,CON_Endwall_Axial_Extend,10,mm,,Number,,,,,,
2477,,EQN_Shroud_Straight_Admis,36.4,mm,,Number,,,,,,
2480,,S,22.8,MilliMeter,,Number,,,,,,
2480,,RBN,2,MilliMeter,,Number,,,,,,
2480,,RBZ,2,MilliMeter,,Number,,,,,,
2480,,HH,25.725,MilliMeter,,Number,,,,,,
2480,,HHU,14.35,MilliMeter,,Number,,,,,,
2480,,RS,3.2,MilliMeter,,Number,,,,,,
2480,,RSU,2.8,MilliMeter,,Number,,,,,,
2480,,RSK,1.2,MilliMeter,,Number,,,,,,
2480,,RSK,2.9,MilliMeter,,Number,,,,,,
2480,,RSA,2.9,MilliMeter,,Number,,,,,,
2480,,RSC,1.46,MilliMeter,,Number,,,,,,
2480,,HIT,1.8,MilliMeter,,Number,,,,,,
2480,,DN,559.7,MilliMeter,,Number,,,,,,
2480,,DZ,661.7,MilliMeter,,Number,,,,,,
