Id,Formula,Name,Value,Units,Dimensionality,Type,Source,Status,Comment,Alert,Checks,Group
633,,ASP_WSK25,120,degrees,,Number,,,,,,
641,,HT_HSK2,1.8,mm,,Number,,,,,,
645,,HT_RSK25,1.46,mm,,Number,,,,,,
649,,HT_HFU2,14.35,mm,,Number,,,,,,
653,,HT_WSK23,20,degrees,,Number,,,,,,
657,,HT_WSK24,35,degrees,,Number,,,,,,
661,,HT_BSK2,2.24,mm,,Number,,,,,,
665,,HT_HSO2,0,mm,,Number,,,,,,
669,,HT_WSK25,120,degrees,,Number,,,,,,
673,,HT_RSK21,3.2,mm,,Number,,,,,,
677,,HT_RSK22,1.2,mm,,Number,,,,,,
681,,HT_RSK23,2.9,mm,,Number,,,,,,
685,,HT_RSK24,2.9,mm,,Number,,,,,,
689,,HT_WSO2,0,degrees,,Number,,,,,,
693,,HT_BSU2,10.765,mm,,Number,,,,,,
697,,EQN_C1_Rad_Tang_Angle,61.3145979858811,degrees,,Number,,,,,,
701,,EQN_C1_Lower_Neck_Undercut_RSK22_Ang,28.68540201412,degrees,,Number,,,,,,
705,,LGC_C1_Rad_Tang_Drop,2.9545369759569,mm,,Number,,,,,,
709,,EQN_C1_Rad2_Total_Height,2.9545369759569,mm,,Number,,,,,,
713,,EQN_C1_Rad2_Tang_Drop,2.9545369759569,mm,,Number,,,,,,
717,,CON_Tol_Offset_BSU2,0.051,mm,,Number,,,,,,
721,,REF_C2_Lower_Neck_Undercut_RSK23,2.9,mm,,Number,,,,,,
725,,REF_C2_Lower_Neck_Undercut_RSK24,2.9,mm,,Number,,,,,,
729,,REF_C2_Lower_Neck_Undercut_RSK25,1.46,mm,,Number,,,,,,
733,,REF_B1_Lower_Neck_Undercut_RSK22,1.2,mm,,Number,,,,,,
737,,EQN_C1_Rad1_Tang_Drop,1.2,mm,,Number,,,,,,
741,,REF_C1_Lower_Neck_Undercut_RSK22,1.2,mm,,Number,,,,,,
745,,EQN_Tol_Offset_BSU2,10.816,mm,,Number,,,,,,
749,,REF_C_Lower_Neck_Undercut_RSI2,2.8,mm,,Number,,,,,,
753,,REF_C1_Lower_Neck_Undercut_RSK21,3.2,mm,,Number,,,,,,
757,,REF_B1_Lower_Neck_Undercut_RSK21,3.2,mm,,Number,,,,,,
761,,REF_B_Lower_Neck_Undercut_RSI2,2.8,mm,,Number,,,,,,
765,,EQN_B1_Lower_Neck_Undercut_RSK22_Ang,28.68540201412,degrees,,Number,,,,,,
769,,LGC_B1_Lower_Neck_Undercut_BSK2,2.24,mm,,Number,,,,,,
773,,LGC_C1_Lower_Neck_Undercut_BSK2,2.24,mm,,Number,,,,,,
777,,REF_C2_Lower_Neck_Undercut_HSK2,1.8,mm,,Number,,,,,,
781,,REF_C2_Lower_Neck_Undercut_WSK23,20,degrees,,Number,,,,,,
785,,REF_C2_Lower_Neck_Undercut_WSK24,35,degrees,,Number,,,,,,
789,,REF_C2_Lower_Neck_Undercut_WSK25,120,degrees,,Number,,,,,,
797,,XLM_BFZ,26.4,mm,,Number,,,,,,
813,,HT_BCO2,0,mm,,Number,,,,,,
817,,HT_BBO2,0,mm,,Number,,,,,,
821,,EQN_Dvtl_Base_4Hook_Width,13.2,mm,,Number,,,,,,
825,,REF_S4_Hook_Chmf_Ang,45,degrees,,Number,,,,,,
829,,LGC_BBO2,2.45,mm,,Number,,,,,,
833,,REF_Dvtl_4Hook_RSI2,2.8,mm,,Number,,,,,,
861,,HT_BSA2,10.5,mm,,Number,,,,,,
865,,HT_RSA2,1,mm,,Number,,,,,,
869,,HT_HSA2,1,mm,,Number,,,,,,
873,,HT_BSB2,0,mm,,Number,,,,,,
877,,REF_Inboard_RSA2,1,mm,,Number,,,,,,
881,,REF_Outboard_RSA2,1,mm,,Number,,,,,,
885,,EQN_Dvtl_Divot_BSB2,5.94999999999999,mm,,Number,,,,,,
915,,ASP_DBEZ2A,J,,,String,,,,,,
917,,ASP_AKAZ2,2,degrees,,Number,,,,,,
937,,ASP_PSI2,0,degrees,,Number,,,,,,
953,,ASP_WINDP2,13,degrees,,Number,,,,,,
969,,HT_TZB2,9.4,mm,,Number,,,,,,
973,,HT_HZA2,4,mm,,Number,,,,,,
977,,HT_PSI2,0,degrees,,Number,,,,,,
981,,HT_TZA2,0,mm,,Number,,,,,,
987,,HT_DBEZ2A,J,,,String,,,,,,
989,,HT_SCHD2,4.1,mm,,Number,,,,,,
993,,HT_HD2,2.7,mm,,Number,,,,,,
997,,HT_BZA2,5,mm,,Number,,,,,,
1001,,HT_CAD2,1.2,mm,,Number,,,,,,
1009,,HT_WINDP2,13,degrees,,Number,,,,,,
1013,,HT_BD2,26.4,mm,,Number,,,,,,
1017,,HT_AKAZ2,2,degrees,,Number,,,,,,
1021,,HT_RZA2,1,mm,,Number,,,,,,
1025,,LGC_HZA2,4,mm,,Number,,,,,,
1029,,LGC_WINDP2,0,degrees,,Number,,,,,,
1037,,LGC_PSI2,0,degrees,,Number,,,,,,
1041,,LGC_RZA1,0.1,mm,,Number,,,,,,
1053,,CON_Shroud_Stock_Rad,0.1,mm,,Number,,,,,,
1057,,REF_Shroud_Tooth_Rad_B_J,0.1,mm,,Number,,,,,,
1061,,CON_Shroud_Stock,1,mm,,Number,,,,,,
1065,,LGC_SCHD2,0,mm,,Number,,,,,,
1069,,REF_Shroud_Tooth_Rad_A_L,0.1,mm,,Number,,,,,,
1077,,REF_Shroud_Tooth_Rad_E,0.1,mm,,Number,,,,,,
1081,,REF_Shroud_Tooth_Rad_F,0.1,mm,,Number,,,,,,
1085,,LGC_BD2,26.4,mm,,Number,,,,,,
1089,,LGC_CAD2,1.2,mm,,Number,,,,,,
1097,,LGC_Shroud_Cly03_BJ_Z,4,mm,,Number,,,,,,
1101,,LGC_Shroud_Cly09_BJ_Z,4,mm,,Number,,,,,,
1105,,LGC_Shroud_Cly04_E_Z,4,mm,,Number,,,,,,
1109,,LKP_Shroud_Cly05_Z,4,mm,,Number,,,,,,
1113,,LGC_Shroud_Cly10_BJ_Z,4,mm,,Number,,,,,,
1121,,LGC_Shroud_Cly01_F_Z,4,mm,,Number,,,,,,
1137,,LGC_Shroud_Cly06_AL_Z,4,mm,,Number,,,,,,
1141,,LKP_Shroud_Cly08_Z,4,mm,,Number,,,,,,
1145,,LGC_Shroud_Cly09_F_Z,0,mm,,Number,,,,,,
1149,,LGC_Shroud_Cly03_E_Z,4,mm,,Number,,,,,,
1153,,LGC_Shroud_Cly02_BJ_Z,0,mm,,Number,,,,,,
1161,,LGC_Shroud_Cly08_BJ_Z,4,mm,,Number,,,,,,
1165,,LGC_Shroud_Cly08_F_Z,0,mm,,Number,,,,,,
1169,,LKP_Shroud_Cly01_Z,4,mm,,Number,,,,,,
1173,,LGC_Shroud_Cly05_AL_Z,4,mm,,Number,,,,,,
1177,,LGC_Shroud_Cly01_BJ_Z,4,mm,,Number,,,,,,
1181,,LGC_Shroud_Cly10_E_Z,4,mm,,Number,,,,,,
1185,,LGC_Shroud_Cly07_BJ_Z,4,mm,,Number,,,,,,
1189,,LKP_Shroud_Cly04_Z,4,mm,,Number,,,,,,
1193,,LGC_Shroud_Cly07_F_Z,0,mm,,Number,,,,,,
1197,,LGC_Shroud_Cly01_E_Z,0,mm,,Number,,,,,,
1201,,LKP_Shroud_Cly10_Z,4,mm,,Number,,,,,,
1205,,LGC_Shroud_Cly07_AL_Z,4,mm,,Number,,,,,,
1209,,LGC_Shroud_Stock_Radial,1,mm,,Number,,,,,,
1213,,LGC_Shroud_Cly04_AL_Z,4,mm,,Number,,,,,,
1217,,LGC_Shroud_Cly10_F_Z,0,mm,,Number,,,,,,
1221,,LGC_Shroud_Cly06_F_Z,0,mm,,Number,,,,,,
1225,,LGC_Shroud_Cly06_BJ_Z,4,mm,,Number,,,,,,
1229,,LGC_Shroud_Cly02_E_Z,4,mm,,Number,,,,,,
1237,,LGC_Shroud_Cly08_E_Z,4,mm,,Number,,,,,,
1241,,LGC_Shroud_Cly10_AL_Z,4,mm,,Number,,,,,,
1245,,LKP_Shroud_Cly07_Z,4,mm,,Number,,,,,,
1249,,LGC_Shroud_Cly05_F_Z,0,mm,,Number,,,,,,
1253,,LGC_Shroud_Cly03_AL_Z,4,mm,,Number,,,,,,
1257,,LGC_Shroud_Cly09_AL_Z,4,mm,,Number,,,,,,
1261,,LKP_Shroud_Cly03_Z,4,mm,,Number,,,,,,
1265,,LGC_Shroud_Cly05_BJ_Z,4,mm,,Number,,,,,,
1269,,LGC_Shroud_Cly07_E_Z,4,mm,,Number,,,,,,
1273,,LGC_Shroud_Cly04_F_Z,0,mm,,Number,,,,,,
1277,,LKP_Shroud_Cly06_Z,4,mm,,Number,,,,,,
1281,,LGC_Shroud_Cly09_E_Z,4,mm,,Number,,,,,,
1285,,EQN_Shroud_Max_Thick,7.7,mm,,Number,,,,,,
1289,,LGC_Shroud_Cly02_AL_Z,4,mm,,Number,,,,,,
1297,,LGC_Shroud_Cly08_AL_Z,4,mm,,Number,,,,,,
1301,,LGC_Shroud_Cly06_E_Z,4,mm,,Number,,,,,,
1309,,LKP_Shroud_Cly09_Z,4,mm,,Number,,,,,,
1313,,LGC_Shroud_Cly04_BJ_Z,4,mm,,Number,,,,,,
1317,,LGC_Shroud_Cly03_F_Z,0,mm,,Number,,,,,,
1329,,LKP_Shroud_Cly02_Z,0,mm,,Number,,,,,,
1333,,LGC_Shroud_Cly05_E_Z,4,mm,,Number,,,,,,
1337,,LGC_Shroud_Cly01_AL_Z,0,mm,,Number,,,,,,
1341,,LGC_Shroud_Cly02_F_Z,0,mm,,Number,,,,,,
1345,,LGC_Shroud_Cly03_BJ_X,0,mm,,Number,,,,,,
1349,,LGC_Shroud_Cly09_BJ_X,0,mm,,Number,,,,,,
1353,,LGC_Shroud_Cly04_E_X,0,mm,,Number,,,,,,
1357,,LKP_Shroud_Fin_Evn,0,degrees,,Number,,,,,,
1361,,LKP_Shroud_Cly05_X,0,mm,,Number,,,,,,
1369,,LGC_Shroud_Cly01_F_X,6,mm,,Number,,,,,,
1377,,LKP_Shroud_Fin_Odd,0,degrees,,Number,,,,,,
1381,,LGC_Shroud_Cly06_AL_X,0,mm,,Number,,,,,,
1385,,LKP_Shroud_Cly08_X,0,mm,,Number,,,,,,
1389,,LGC_Shroud_Cly09_F_X,0,mm,,Number,,,,,,
1393,,LGC_Shroud_Cly03_E_X,0,mm,,Number,,,,,,
1397,,LGC_Shroud_Cly02_BJ_X,11,mm,,Number,,,,,,
1401,,LGC_Shroud_Cly08_BJ_X,0,mm,,Number,,,,,,
1405,,LGC_Shroud_Cly08_F_X,0,mm,,Number,,,,,,
1409,,LKP_Shroud_Cly01_X,18,mm,,Number,,,,,,
1413,,LGC_Shroud_Stock_Axial_Vert,1,mm,,Number,,,,,,
1417,,LGC_Shroud_Cly05_AL_X,0,mm,,Number,,,,,,
1421,,LGC_Shroud_Cly01_BJ_X,18,mm,,Number,,,,,,
1425,,LGC_Shroud_Cly07_BJ_X,0,mm,,Number,,,,,,
1429,,LKP_Shroud_Cly04_X,0,mm,,Number,,,,,,
1433,,LGC_Shroud_Cly07_F_X,0,mm,,Number,,,,,,
1437,,LGC_Shroud_Cly01_E_X,20.4,mm,,Number,,,,,,
1441,,LGC_Shroud_Cly07_AL_X,0,mm,,Number,,,,,,
1445,,LGC_Shroud_Cly09_E_X,0,mm,,Number,,,,,,
1449,,LGC_Shroud_Cly04_AL_X,0,mm,,Number,,,,,,
1457,,LGC_Shroud_Cly06_F_X,0,mm,,Number,,,,,,
1461,,LGC_Shroud_Cly06_BJ_X,0,mm,,Number,,,,,,
1465,,LGC_Shroud_Cly02_E_X,0,mm,,Number,,,,,,
1473,,LGC_Shroud_Cly08_E_X,0,mm,,Number,,,,,,
1481,,LKP_Shroud_Cly07_X,0,mm,,Number,,,,,,
1485,,LGC_Shroud_Cly05_F_X,0,mm,,Number,,,,,,
1489,,LGC_Shroud_Cly03_AL_X,0,mm,,Number,,,,,,
1493,,LGC_Shroud_Cly09_AL_X,0,mm,,Number,,,,,,
1497,,LKP_Shroud_Cly03_X,0,mm,,Number,,,,,,
1501,,LGC_Shroud_Cly05_BJ_X,0,mm,,Number,,,,,,
1505,,LGC_Shroud_Cly07_E_X,0,mm,,Number,,,,,,
1509,,LGC_Shroud_Stock_Axial_Angl,1,mm,,Number,,,,,,
1513,,LGC_Shroud_Cly04_F_X,0,mm,,Number,,,,,,
1517,,LKP_Shroud_Cly06_X,0,mm,,Number,,,,,,
1521,,LGC_Shroud_Cly02_AL_X,0,mm,,Number,,,,,,
1529,,LGC_Shroud_Cly08_AL_X,0,mm,,Number,,,,,,
1533,,LGC_Shroud_Cly06_E_X,0,mm,,Number,,,,,,
1541,,LKP_Shroud_Cly09_X,0,mm,,Number,,,,,,
1545,,LGC_Shroud_Cly04_BJ_X,0,mm,,Number,,,,,,
1549,,LGC_Shroud_Cly03_F_X,0,mm,,Number,,,,,,
1553,,LKP_Shroud_Cly02_X,11,mm,,Number,,,,,,
1569,,LGC_Shroud_Cly01_AL_X,11,mm,,Number,,,,,,
1573,,LGC_Shroud_Cly05_E_X,0,mm,,Number,,,,,,
1581,,LGC_Shroud_Cly02_F_X,0,mm,,Number,,,,,,
1621,,HT_XDP2,18.48,mm,,Number,,,,,,
1625,,HT_RFU2,0.001,mm,,Number,,,,,,
1629,,HT_RDP2,31.78,mm,,Number,,,,,,
1633,,HT_XFU2,0,mm,,Number,,,,,,
1657,,XML_XSZ2,1.276649428725,mm,,Number,,,,,,
1669,,ASP_THX201,50,degrees,,Number,,,,,,
1697,,HT_YBZ2,16.6768,mm,,Number,,,,,,
1701,,HT_ZHK201,276.952,mm,,Number,,,,,,
1705,,HT_SX201,30,mm,,Number,,,,,,
1709,,HT_ZHK205,333.35,mm,,Number,,,,,,
1713,,HT_THX201,50,degrees,,Number,,,,,,
1717,,HT_ZHK207,0,mm,,Number,,,,,,
1721,,HT_XHK201,0,mm,,Number,,,,,,
1725,,HT_YHK201,0,mm,,Number,,,,,,
1733,,LGC_THX201,50,degrees,,Number,,,,,,
1737,,EQN_Vane_Y_origin,16.6768,mm,,Number,,,,,,
1745,,CON_Vane_Extension_Helper,0.1,mm,,Number,,,,,,
1749,,LGC_Vane_Extension_Trim,333.35,mm,,Number,,,,,,
1773,,ASP_THEF2,50,degrees,,Number,,,,,,
1777,,HT_DFV2,2.4763,mm,,Number,,,,,,
1781,,HT_VFZ2,7.3929,mm,,Number,,,,,,
1785,,HT_THEF2,50,degrees,,Number,,,,,,
1789,,LGC_Dvtl_Skew_Back_Tang_Pitch,-1.87470810662196,mm,,Number,,,,,,
1793,,LGC_Dvtl_Skew_Frnt_Taper,0,degrees,,Number,,,,,,
1797,,LGC_Dvtl_Skew_Back_Taper,4.55696202531646,degrees,,Number,,,,,,
1801,,REF_Dvtl_Back_THEF2,50,degrees,,Number,,,,,,
1805,,EQN_Dvtl_Arc_Length,19.7812874457495,mm,,Number,,,,,,
1809,,EQN_Dvtl_Arc_Length_Angle,4.0499706413313,degrees,,Number,,,,,,
1813,,REF_Dvtl_Frnt_THEF2,50,degrees,,Number,,,,,,
1817,,LGC_Dvtl_Skew_Frnt_Tang_Pitch,21.6349013903566,mm,,Number,,,,,,
1837,,ASP_THED2,50,degrees,,Number,,,,,,
1841,,HT_DDV2,0.3068,mm,,Number,,,,,,
1845,,HT_THED2,50,degrees,,Number,,,,,,
1849,,HT_VDZ2,7.3929,mm,,Number,,,,,,
1853,,LGC_Shrd_Skew_Frnt_Tang_Pitch,21.6349013903566,mm,,Number,,,,,,
1857,,EQN_Shrd_Arc_Length_Angle_,4.61009288569008,degrees,,Number,,,,,,
1861,,REF_Shrd_Frnt_THED2,50,degrees,,Number,,,,,,
1865,,REF_Shrd_Back_THED2,50,degrees,,Number,,,,,,
1869,,LGC_Shrd_Skew_Frnt_Taper,0,degrees,,Number,,,,,,
1873,,LGC_Shrd_Skew_Back_Taper,4.55696202531646,degrees,,Number,,,,,,
1877,,LGC_Shrd_Skew_Back_Tang_Pitch,4.97305959623426,mm,,Number,,,,,,
1881,,EQN_Shrd_Arc_Length,26.6206209984856,mm,,Number,,,,,,
1909,,ASP_WFUS2,30,degrees,,Number,,,,,,
1921,,ASP_AFUS2,0.366141732283465,degrees,,Number,,,,,,
1929,,HT_AFUS2,0.3661,degrees,,Number,,,,,,
1933,,HT_RFUS2,20,mm,,Number,,,,,,
1937,,HT_DDI1,536.8,mm,,Number,,,,,,
1941,,HT_DDI1_DOWN,539.8,mm,,Number,,,,,,
1945,,HT_AZA11_DOWN,0,mm,,Number,,,,,,
1949,,HT_AZA12,21.25,mm,,Number,,,,,,
1953,,HT_WFUS2,30,degrees,,Number,,,,,,
1957,,EQN_Dvtl_Sld_Chmf_Crnr,271.375,mm,,Number,,,,,,
1964,,LGC_Dvtl_Sld_Chmf_Admis,True,,,Boolean,,,,,,
1968,,LGC_Dvtl_Sld_Embed_Admis,True,,,Boolean,,,,,,
1969,,REF_CW_RBD2,2,mm,,Number,,,,,,
1976,,LGC_Dvtl_Sld_Chmf_Disch,True,,,Boolean,,,,,,
1977,,REF_CCW_RBF2,2,mm,,Number,,,,,,
1984,,LGC_Dvtl_Sld_Embed_Disch,False,,,Boolean,,,,,,
1985,,REF_CCW_RBD2,2,mm,,Number,,,,,,
1989,,REF_CW_RBF2,2,mm,,Number,,,,,,
2017,,HT_HFO2,0,mm,,Number,,,,,,
2021,,HT_BSO2,0,mm,,Number,,,,,,
2025,,CON_Tol_Offset_BSO2,0.051,mm,,Number,,,,,,
2029,,EQN_B1_Upper_Neck_Undercut_RSK22_Ang,28.68540201412,degrees,,Number,,,,,,
2033,,LGC_C1_Upper_Neck_Undercut_BSK2,2.24,mm,,Number,,,,,,
2037,,REF_C2_Upper_Neck_Undercut_RSK23,2.9,mm,,Number,,,,,,
2041,,REF_C2_Upper_Neck_Undercut_RSK24,2.9,mm,,Number,,,,,,
2045,,REF_B1_Upper_Neck_Undercut_RSK21,3.2,mm,,Number,,,,,,
2049,,REF_B1_Upper_Neck_Undercut_RSK22,1.2,mm,,Number,,,,,,
2053,,REF_C1_Upper_Neck_Undercut_RSK21,3.2,mm,,Number,,,,,,
2057,,REF_C1_Upper_Neck_Undercut_RSK22,1.2,mm,,Number,,,,,,
2061,,EQN_Tol_Offset_BSO2,0.051,mm,,Number,,,,,,
2065,,EQN_C1_Upper_Neck_Undercut_RSK22_Ang,28.68540201412,degrees,,Number,,,,,,
2069,,REF_C2_Upper_Neck_Undercut_HSK2,1.8,mm,,Number,,,,,,
2073,,REF_C2_Upper_Neck_Undercut_WSK23,20,degrees,,Number,,,,,,
2077,,REF_C2_Upper_Neck_Undercut_WSK24,35,degrees,,Number,,,,,,
2081,,REF_C2_Upper_Neck_Undercut_WSK25,120,degrees,,Number,,,,,,
2085,,REF_B_Upper_Neck_Undercut_RSI2,2.8,mm,,Number,,,,,,
2089,,REF_C2_Upper_Neck_Undercut_RSK25,1.46,mm,,Number,,,,,,
2093,,LGC_B1_Upper_Neck_Undercut_BSK2,2.24,mm,,Number,,,,,,
2105,,HT_RBF2,2,mm,,Number,,,,,,
2109,,HT_RBD2,2,mm,,Number,,,,,,
2125,,REF_Vane_Flat_Tip_Fil_RBD2,2,mm,,Number,,,,,,
2129,,REF_Vane_Leadin_Root_Fil_RBF2,2,mm,,Number,,,,,,
2133,,REF_Vane_Leadin_Tip_Fil_RBD2,2,mm,,Number,,,,,,
2141,,REF_Vane_Flat_Root_Fil_RBF2,2,mm,,Number,,,,,,
2145,,LGC_YSZ2,-3,mm,,Number,,,,,,
2149,,LGC_Skew_Pivot_Axial,10.7069,mm,,Number,,,,,,
2153,,EQN_ST_Skew_Axial,10.7069,mm,,Number,,,,,,
2157,,EQN_Taper_Ang_ALD2,4.55696202531646,degrees,,Number,,,,,,
2161,,CON_Dvtl_Assem_Cut_Disch_Tang,3.048,mm,,Number,,,,,,
2165,,REF_Dvtl_Assem_Cut_Neck_Disch_Fillet_Btm,2.8,mm,,Number,,,,,,
2169,,EQN_Dvtl_Assem_Cut_Cent2Flat,11.5795094845188,mm,,Number,,,,,,
2173,,EQN_ST_Dvtl_Assem_Cut_Pitch_Drop,0.460725194252292,mm,,Number,,,,,,
2177,,EQN_Dvtl_Assem_Cut_Solid_Admis_Axial,6.5917747143625,mm,,Number,,,,,,
