107,,LGC_BBU2,8.025,mm,,Number,,,,,,
108,,REF_S2_Hook_Chmf_Ang,45,degrees,,Number,,,,,,
109,,CON_Tol_Offset_BSQ2,0,mm,,Number,,,,,,
110,,EQN_Dvtl_Base_Neck_Chmf_Drp,1.17010101267767,mm,,Number,,,,,,
111,,EQN_Dvtl_Base_2Hk_Width,18.775,mm,,Number,,,,,,
112,,CON_Hook_Chamfer_Angle,45,degrees,,Number,,,,,,
113,,REF_Dvtl_Base_RSI2,2.8,mm,,Number,,,,,,
114,,ASP_WSO2,0,degrees,,Number,,,,,,
115,,ASP_WSK23,20,degrees,,Number,,,,,,
116,,ASP_WSK24,35,degrees,,Number,,,,,,
117,,ASP_WSK25,120,degrees,,Number,,,,,,
118,,HT_HSK2,1.8,mm,,Number,,,,,,
119,,HT_RSK25,1.46,mm,,Number,,,,,,
120,,HT_HFU2,14.35,mm,,Number,,,,,,
121,,HT_WSK23,20,degrees,,Number,,,,,,
122,,HT_WSK24,35,degrees,,Number,,,,,,
123,,HT_BSK2,2.24,mm,,Number,,,,,,
124,,HT_HSO2,0,mm,,Number,,,,,,
125,,HT_WSK25,120,degrees,,Number,,,,,,
126,,HT_RSK21,3.2,mm,,Number,,,,,,
127,,HT_RSK22,1.2,mm,,Number,,,,,,
128,,HT_RSK23,2.9,mm,,Number,,,,,,
129,,HT_RSK24,2.9,mm,,Number,,,,,,
130,,HT_WSO2,0,degrees,,Number,,,,,,
131,,HT_BSU2,10.765,mm,,Number,,,,,,
132,,EQN_C1_Rad_Tang_Angle,61.3145979858811,degrees,,Number,,,,,,
133,,EQN_C1_Lower_Neck_Undercut_RSK22_Ang,28.68540201412,degrees,,Number,,,,,,
134,,LGC_C1_Rad_Tang_Drop,2.9545369759569,mm,,Number,,,,,,
135,,EQN_C1_Rad2_Total_Height,2.9545369759569,mm,,Number,,,,,,
136,,EQN_C1_Rad2_Tang_Drop,2.9545369759569,mm,,Number,,,,,,
137,,CON_Tol_Offset_BSU2,0.051,mm,,Number,,,,,,
138,,REF_C2_Lower_Neck_Undercut_RSK23,2.9,mm,,Number,,,,,,
139,,REF_C2_Lower_Neck_Undercut_RSK24,2.9,mm,,Number,,,,,,
